Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland
1955;595.5;596.00;951.6;958.3;744.1;618.4;726.4;726.3;788.8;712.5;697.9;824.4;800.6;649.6;689.3;739.2;783.6
1956;664.7;664.2;979.5;972.7;870.6;628.00;795.4;793.2;973.5;798.5;710.6;875.8;844.5;694.5;751.9;824.00;844.1
1957;548.2;548.5;879.2;916.2;784.9;570.2;794.1;793.00;946.8;739.7;796.6;883.9;765.4;567.6;614.00;672.5;783.6
1958;595.9;595.1;1096.7;1034.9;911.5;633.5;827.4;826.7;1000.7;891.2;773.00;1181.3;815.7;626.8;704.8;803.00;876.1
1959;459.8;458.7;748.9;743.9;492.3;428.1;403.8;404.2;501.3;542.7;478.2;685.6;556.7;383.2;426.7;481.5;551.1
1960;600.00;600.1;970.2;933.2;905.8;752.4;844.00;843.8;1024.7;829.2;901.6;1055.1;745.1;590.8;664.3;756.7;849.00
1961;658.3;657.2;946.7;914.3;945.8;652.3;940.00;938.6;1055.6;842.1;812.3;1028.9;726.3;685.1;734.2;796.00;862.1
1962;495.8;495.3;828.6;816.3;694.4;568.8;717.7;717.2;828.7;667.4;789.7;786.7;557.9;472.4;512.00;561.8;701.2
1963;432.5;432.8;871.9;797.9;651.3;528.5;625.1;625.7;696.6;627.5;716.2;842.6;545.3;420.3;496.2;591.7;658.7
1964;502.4;501.9;779.2;804.9;560.8;501.1;581.1;581.5;647.5;596.2;632.2;692.9;573.6;440.9;463.5;492.00;631.1
1965;636.1;636.2;1312.2;1190.7;1074.3;679.9;885.8;885.6;1133.00;1053.5;940.1;1274.4;864.9;654.4;747.6;864.9;989.4
1966;660.5;659.00;1107.2;1179.8;1027.5;673.6;899.5;898.3;1138.2;984.2;927.6;1084.3;847.9;694.7;788.1;905.6;965.1
1967;653.9;654.7;931.5;919.2;865.2;679.9;853.4;852.7;927.8;878.9;870.1;1094.6;800.9;623.2;668.4;725.2;836.8
1968;609.6;610.00;1141.9;968.2;869.9;690.5;756.9;757.5;904.00;918.9;809.1;1028.1;750.3;561.2;632.8;722.9;842.3
1969;532.3;531.8;957.6;803.00;741.6;544.7;684.7;684.4;782.4;749.9;718.1;867.7;633.00;545.3;626.6;728.8;724.6
